"time_stamp","rssi","humidity","temperature","pressure","pm2.5_atm","pm2.5_cf_1","pm10.0_cf_1","sensor_id"
2022-11-01 00:01:35,-66,63,64,986.99,38.42,44.705,48.345,107560
2022-11-01 00:03:35,-67,63,64,987.03,38.17,44.445,48.285,107560
2022-11-01 00:05:35,-66,63,64,987.05,38.09,44.375,48.17,107560
2022-11-01 00:07:35,-66,63,64,987.06,37.66,43.81,46.765,107560
2022-11-01 00:09:35,-67,63,64,987.06,37.54,43.055,45.87,107560
2022-11-01 00:11:35,-67,63,64,987.11,37.065,42.79,45.215,107560
2022-11-01 00:13:35,-67,63,64,987.14,36.865,42.07,45.34,107560
2022-11-01 00:15:35,-66,63,64,987.16,36.855,41.85,44.815,107560
2022-11-01 00:17:35,-66,62,64,987.15,36.435,41.26,44.51,107560
2022-11-01 00:19:35,-66,63,64,987.11,36.545,41.595,45.5,107560
2022-11-01 00:21:35,-67,63,64,987.16,36.285,40.83,43.57,107560
2022-11-01 00:23:35,-66,63,64,987.18,36.23,40.98,44.51,107560
2022-11-01 00:25:35,-66,62,64,987.18,36.4,41.29,43.72,107560
2022-11-01 00:27:35,-65,62,64,987.17,36.075,40.89,43.435,107560
2022-11-01 00:29:35,-65,63,64,987.16,36.115,40.55,43.46,107560
2022-11-01 00:31:35,-68,62,64,987.18,36.61,41.565,44.59,107560
2022-11-01 00:33:35,-66,63,64,987.14,36.845,42.095,44.985,107560
2022-11-01 00:35:35,-67,63,64,987.18,37.125,42.455,44.625,107560
2022-11-01 00:37:35,-69,63,63,987.21,36.655,41.6,44.39,107560
2022-11-01 00:39:35,-70,63,63,987,35.97,40.5,43.15,107560
2022-11-01 00:41:35,-70,63,63,987.21,37.82,43.655,46.375,107560
2022-11-01 00:43:35,-68,63,63,987.24,37.585,43.3,46.02,107560
2022-11-01 00:45:35,-69,63,63,987.36,37.3,42.81,44.705,107560
2022-11-01 00:47:35,-68,63,63,987.36,38.21,44.345,47.315,107560
